timestamp,total_water_consumption,airTemperature,dewTemperature,precipDepth1HR,precipDepth6HR,windSpeed
2016-01-01 00:00:00,2347.3327,19.4,19.4,0.0,,0.0
2016-01-01 01:00:00,2612.6899,21.1,21.1,-1.0,,0.0
2016-01-01 02:00:00,4239.6592,21.1,21.1,0.0,,1.5
2016-01-01 03:00:00,4353.6,20.6,20.0,0.0,,0.0
2016-01-01 04:00:00,3898.9723000000004,21.1,20.6,0.0,,1.5
2016-01-01 05:00:00,2642.5946999999996,21.1,20.6,-1.0,,0.0
2016-01-01 06:00:00,2775.0841,20.6,20.0,0.0,,0.0
2016-01-01 07:00:00,3658.5987999999998,18.9,18.9,0.0,0.0,1.5
2016-01-01 08:00:00,3112.3641,20.0,20.0,0.0,,0.0
2016-01-01 09:00:00,4050.7672000000002,21.7,21.1,0.0,,0.0
2016-01-01 10:00:00,3482.9557,23.9,21.1,0.0,,3.1
2016-01-01 11:00:00,3974.6805000000004,26.1,20.0,0.0,,4.1
2016-01-01 12:00:00,5980.9478,26.7,20.6,0.0,,3.6
2016-01-01 13:00:00,5494.1441,27.8,20.0,0.0,,5.1
2016-01-01 14:00:00,3255.4525999999996,28.3,19.4,0.0,,5.1
2016-01-01 15:00:00,5313.201500000001,28.3,18.9,0.0,,4.1
2016-01-01 16:00:00,5791.677299999999,27.8,18.3,0.0,,4.6
2016-01-01 17:00:00,5337.4281,26.7,18.3,0.0,,3.1
2016-01-01 18:00:00,3747.5559,25.6,18.3,0.0,,3.1
2016-01-01 19:00:00,3671.8477000000003,24.4,18.9,-1.0,0.0,2.6
2016-01-01 20:00:00,4315.3674,23.9,18.3,0.0,,2.1
2016-01-01 21:00:00,5186.390200000001,22.2,19.4,0.0,,5.7
2016-01-01 22:00:00,4921.033,21.1,18.9,0.0,,5.1
2016-01-01 23:00:00,3975.0589999999997,20.6,17.8,0.0,,4.6
2016-01-02 00:00:00,3290.2783999999997,19.4,17.2,0.0,,2.6
2016-01-02 01:00:00,3633.9936,18.9,17.2,0.0,,2.1
2016-01-02 02:00:00,5694.770800000001,18.9,17.2,0.0,,2.6
2016-01-02 03:00:00,2576.35,18.9,16.7,0.0,,3.6
2016-01-02 04:00:00,4817.3128,18.3,16.7,0.0,,3.1
2016-01-02 05:00:00,2914.7657,18.9,16.7,0.0,,5.1
2016-01-02 06:00:00,3482.5772,16.7,13.9,0.0,,6.2
2016-01-02 07:00:00,2990.4739,15.6,13.3,-1.0,0.0,5.7
2016-01-02 08:00:00,3898.9723000000004,15.0,13.9,0.0,,4.1
2016-01-02 09:00:00,3226.305,16.1,13.3,0.0,,5.1
2016-01-02 10:00:00,3360.3085,17.2,13.3,0.0,,3.6
2016-01-02 11:00:00,5343.4848,17.8,13.3,0.0,,3.6
2016-01-02 12:00:00,5646.696100000001,19.4,11.7,0.0,,3.6
